title,creator,reader,creatortype,date,subjects,description,grade,identifier,format,type,link,cdmid,next,prev
Mountain Bluebird,"Stewart, Morgan",Isla Rosewood,Teacher,2014,birds; moutnains,Fourth grade level informational text about birds.,Fourth,MountainBlueBird,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/169,169,New_Hampshire,MonicaBrown
New Hampshire,Brianna Reasoner,Adrienne Vitullo,Student,2017,New Hampshire; state,informational text about New Hampshire,fourth,New_Hampshire,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/706,706,ngorongoro_crater,MountainBlueBird
Ngorongoro Crater,"Jensen, Sherry",Isla Rosewood,Teacher,2014,craters; volcanos,First grade level informational text about craters.,First,ngorongoro_crater,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/170,170,Oaxaca,New_Hampshire
Oaxaca,Cindy Pitkin,Adrienne Vitullo,Student,2017,Oaxaca; Mexico; Day of the Dead; culture,"informational text about Oaxaca, Mexico",fifth,Oaxaca,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/717,717,Olympic_Park,ngorongoro_crater
Olympic National Park,"Trager, Zoe",Adrienne Vitullo,Teacher,2016,national parks; nature; climate; weather,informational text about Olympic National Park,first,Olympic_Park,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/218,218,OrcaWhale,Oaxaca
Orca Whales,"Kramer, Katie",Isla Rosewood,Teacher,2014,orca; whales,Third -grade level information text about Orca whales,Third,OrcaWhale,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/149,149,Pacific_Northwest,Olympic_Park
Pacific Northwest,"Fisher, Genna",Adrienne Vitullo,Teacher,2016,geography; regions; location; climate,informational text about the Pacific Northwest,sixth,Pacific_Northwest,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/221,221,Photosynthesis,OrcaWhale
Photosynthesis,Rochelle Hopkins,Adrienne Vitullo,Student,2017,photosynthesis; plants,informational text about photosynthesis,third,Photosynthesis,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/732,732,Pigs,Pacific_Northwest
Pigs,Hannah Lancaster,Adrienne Vitullo,Student,2017,pigs; farm; 4-H,informational text about pigs,fifth,Pigs,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/750,750,Planets,Photosynthesis
Planets,"Murphy, Jennifer",Isla Rosewood,Teacher,2014,planets; solar system,First grade level informational text about planets.,First,Planets,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/173,173,Palominos,Pigs
Pretty Palominos,"McKay, Chelsea",Isla Rosewood,Teacher,2014,palomino horses;horse; habitat,Second-grade level informational text about Palominos,Second,Palominos,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/148,148,Pug,Planets
Pugs,"Rasulo, Abbie",Adrienne Vitullo,Teacher,2016,pugs; dogs,informational text about pugs,first,Pug,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/227,227,rainbowtrout,Palominos
Rainbow Trout,"Bailey, Jessica",Isla Rosewood,Teacher,2014,trout; fish,Second-grade level information text about Rainbow Trout,Second,rainbowtrout,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/151,151,recycling,Pug
Recycling,"Mahoney, Alex",Isla Rosewood,Teacher,2014,recycling; trash,Fifth grade level informational text about recycling.,Fifth,recycling,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/174,174,Otters,rainbowtrout
River Otters,"James, Emily",none,Teacher,2016,otters; rivers; ,informational text about river otters,nullo,Otters,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/260,260,Rockclimbing,recycling
Rock Climbing,Chelsea Jones,Adrienne Vitullo,Student,2017,rock climbing; harness; rope,informational text about rock climbing,fifth,Rockclimbing,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/766,766,SeaTurtles,Otters
Sea Turtles,"Scott, Holly",Isla Rosewood,Teacher,2014,sea turtles; turtles,Second-grade level informational text about turtles,Second,SeaTurtles,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/152,152,Sea_Turtles2,Rockclimbing
Sea Turtles,"Ratcliff, Kristen",Adrienne Vitullo,Teacher,2016,sea turtles; turtles,informational text about sea turtles,second,Sea_Turtles2,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/230,230,Seasons,SeaTurtles
Seasons of the Year,"Ballestero, Connie",Adrienne Vitullo,Teacher,2016,seasons; spring; summer; fall; winter,informational text about seasons,first,Seasons,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/233,233,Shapes_Nature,Sea_Turtles2
Shapes Found in Nature,"Newbold, Jacob",Adrienne Vitullo,Teacher,2016,shapes; nature,informational text about shapes in nature,kindergarten,Shapes_Nature,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/237,237,Sharks,Seasons
Sharks!,"Everett, Sophie",Adrienne Vitullo,Teacher,2016,sharks,informational text about sharks,second,Sharks,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/239,239,SwedishWinterHolidays,Shapes_Nature
Swedish Winter Holidays,"Blake, Caszie",Isla Rosewood,Teacher,2014,holidays; Sweden,Third grade level informational text about holidays.,Third,SwedishWinterHolidays,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/163,163,Teaching_Dog,Sharks
Teaching a Dog to Lay Down,Savannah Scripter,Adrienne Vitullo,Student,2017,dogs; training,informational text about teaching a dog to lay down,third,Teaching_Dog,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/783,783,ABC_Idaho,SwedishWinterHolidays
The ABC&apos;s of Idaho,"Fascilla, Annie",Adrienne Vitullo,Teacher,2016,Idaho; attractions; national parks,informational text about Idaho,first,ABC_Idaho,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/203,203,Fish_of_Idaho,Teaching_Dog
The Fish of Idaho,"Brown, Jaleh",Adrienne Vitullo,Teacher,2016,fish; salmon; trout; Idaho,informational text about fish in Idaho,fourth,Fish_of_Idaho,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/229,229,thegreatfire,ABC_Idaho
The Great Fire of 1910,"Schulz, Gretchen",Isla Rosewood,Teacher,2014,fire; forest; 1910,Fourth-grade level informational text about the The Great Fire,Fourth,thegreatfire,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/150,150,Hawaii,Fish_of_Idaho
The Hawaiian Islands,Serena Porter,Adrienne Vitullo,Student,2017,Hawaii; islands; Pacific,informational text about the Hawaiian islands,third,Hawaii,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/803,803,Slinky,thegreatfire
The History of the Slinky,"Armstrong, Kelsey",Adrienne Vitullo,Teacher,2016,toys; Slinky,informational text about Slinkys,third,Slinky,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/241,241,PacificTreeFrogs,Hawaii
The Life Cycle of a Pacific Tree Frog,"Rade, Jessica",Isla Rosewood,Teacher,2014,frogs; nature; amphibians,Second grade level informational text about frogs.,Second,PacificTreeFrogs,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/172,172,Honeybee,Slinky
The Life of a Honey Bee,Cassie Clements,Adrienne Vitullo,Student,2017,Bees; honey; pollen,informational text about bees,fifth,Honeybee,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/820,820,Shark_Life,PacificTreeFrogs
The Life of a Shark,Natalie Barton,Adrienne Vitullo,Student,2017,sharks; anatomy; senses,informational text about sharks,third,Shark_Life,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/837,837,Man_Behind_Mouse,Honeybee
The Man Behind the Mouse,"Barnes, Hannah",none,Teacher,2016,Walt Disney; cartoons; animation,"informational text about Walt Disney, the man behind the mouse",nullo,Man_Behind_Mouse,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/258,258,Monarch_Butterfly,Shark_Life
The Monarch Butterfly,"Hull, Daly",Adrienne Vitullo,Teacher,2016,butterfly; nature; life cycle,informational text about Monarch butterflies,first,Monarch_Butterfly,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/216,216,Solar_System,Man_Behind_Mouse
The Solar System,"Kouba, McKenna",Adrienne Vitullo,Teacher,2016,solar system; planets; space,informational text about the solar system,second,Solar_System,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/243,243,TheStoryoftheLakeMFloods,Monarch_Butterfly
The Story of the Lake Missoula Floods,"Shultz, Gretchen",Isla Rosewood,Teacher,2014,floods; nature,Fourth grade level informational text about floods.,Fourth,TheStoryoftheLakeMFloods,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/175,175,Water_Cycle,Solar_System
The Water Cycle,"VanDercar, Aubree",none,Teacher,2016,water; nature,informational text about the water cycle,nullo,Water_Cycle,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/262,262,WonderfulWorldofWhales,TheStoryoftheLakeMFloods
The Wonderful World of Whales,"Gibson, Jenny",none,Teacher,2014,whales; nature,Third grade level informational text about whales.,Third,WonderfulWorldofWhales,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/178,178,Tying_Shoes,Water_Cycle
Tying Your Shoes,"Dieter, Jennifer",Adrienne Vitullo,Teacher,2016,shoes; tying,informational text about tying your shoes,kindergarten,Tying_Shoes,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/245,245,Type,WonderfulWorldofWhales
Type 101,"Barnes, Hannah",none,Teacher,2016,type; letters,informational text about typing,nullo,Type,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/259,259,Walt_Disney,Tying_Shoes
Walt Disney,"Pontius, Sierra",Adrienne Vitullo,Teacher,2016,Walt Disney; cartoons; animation,informational text about Walt Disney,first,Walt_Disney,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/251,251,Walt_Disney2,Type
Walt Disney,"McLean, Amanda",Adrienne Vitullo,Teacher,2016,Walt Disney; cartoons; animation,informational text about Walt Disney,third,Walt_Disney2,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/263,263,Memory,Walt_Disney
What is Memory?,Kurin Dooley,Adrienne Vitullo,Student,2017,memory; brain; emotion,informational text about memory,third,Memory,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/857,857,Seasons_Why,Walt_Disney2
Why Do We Have Seasons?,Lindsey Hurd,none,Student,2017,seasons; spring; summer; fall; winter,informational text about seasons,fourth,Seasons_Why,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/873,873,Wildflowers_of_Idaho,Memory
Wild Plants and Flowers of Idaho,"Schatz, Julia",Adrienne Vitullo,Teacher,2016,plants; flowers; Idaho,informational text about wild plants and flowers of Idaho,fourth,Wildflowers_of_Idaho,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/265,265,Wildland_Fires,Seasons_Why
Wildland Fires,"Golden, Jennifer",Adrienne Vitullo,Teacher,2016,fire; wildfires,informational text about wildland fires,fifth,Wildland_Fires,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/202,202,WindTurbines,Wildflowers_of_Idaho
Wind Turbines,"Butler, Sydney",Isla Rosewood,Teacher,2014,wind; turbines; energy,Fifth grade level informational text about wind turbines.,Fifth,WindTurbines,application/pdf,Text,http://digital.lib.uidaho.edu:80/cdm/ref/collection/guidedread/id/177,177,Nicaragua,Wildland_Fires
